date,SKU,impressions,clicks,costPerClick,clickThroughRate,cost,spend,currency-code,purchases1d,purchases7d,purchases14d,purchases30d,unitsSoldClicks1d,unitsSoldClicks7d,unitsSoldClicks14d,unitsSoldClicks30d,sales1d,sales7d,sales14d,sales30d,acosClicks7d,acosClicks14d,roasClicks7d,roasClicks14d
2025-09-03,MN-21,2603,17,1.062,0.653,18.06,18.06,USD,2,2,2,2,4,4,4,4,91.6,91.6,91.6,91.6,19.71615721,19.71615721,5.071982281,5.071982281
2025-09-03,MN-44,60,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-21,662,7,0.919,1.057,6.43,6.43,USD,1,1,1,1,2,2,2,2,71.8,71.8,71.8,71.8,8.955431755,8.955431755,11.16640747,11.16640747
2025-09-03,MN-24,651,7,1.397,1.075,9.78,9.78,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-21,2018,17,0.695,0.842,11.82,11.82,USD,1,1,1,1,2,2,2,2,45.8,45.8,45.8,45.8,25.80786026,25.80786026,3.874788494,3.874788494
2025-09-03,MN-44,104,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-24,1260,10,0.736,0.794,7.36,7.36,USD,1,1,1,1,1,1,1,1,21.49,21.49,21.49,21.49,34.24848767,34.24848767,2.919836957,2.919836957
2025-09-03,MN-18,520,6,2.115,1.154,12.69,12.69,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-18,839,10,1.467,1.192,14.67,14.67,USD,2,2,2,2,2,2,2,2,55.8,55.8,55.8,55.8,26.29032258,26.29032258,3.803680982,3.803680982
2025-09-03,MN-18,631,7,1.771,1.109,12.4,12.4,USD,2,2,2,2,6,6,6,6,167.4,167.4,167.4,167.4,7.407407407,7.407407407,13.5,13.5
2025-09-03,MN-18,2043,9,1.143,0.441,10.29,10.29,USD,0,1,1,1,0,4,4,4,0,111.52,111.52,111.52,9.227044476,9.227044476,10.83770651,10.83770651
2025-09-03,MN-04,13,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-39,11,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-04,15,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-39,29,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-04,65,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-39,13,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-04,36,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-39,22,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-23,223,2,0.720,0.897,1.44,1.44,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-49,62,1,1.170,1.613,1.17,1.17,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-11,300,2,1.280,0.667,2.56,2.56,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-08,22,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-23,190,3,0.560,1.579,1.68,1.68,USD,4,4,4,4,4,4,4,4,77.19,77.19,77.19,77.19,2.176447726,2.176447726,45.94642857,45.94642857
2025-09-03,MN-49,123,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-11,736,4,1.023,0.543,4.09,4.09,USD,1,1,1,1,1,1,1,1,17.88,17.88,17.88,17.88,22.87472036,22.87472036,4.371638142,4.371638142
2025-09-03,MN-08,35,2,1.005,5.714,2.01,2.01,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-08,35,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-23,194,1,1.260,0.515,1.26,1.26,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-49,161,1,1.020,0.621,1.02,1.02,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-11,532,4,1.093,0.752,4.37,4.37,USD,1,1,1,1,1,1,1,1,17.88,17.88,17.88,17.88,24.44071588,24.44071588,4.091533181,4.091533181
2025-09-03,MN-11,480,2,1.630,0.417,3.26,3.26,USD,2,2,2,2,2,2,2,2,38.78,38.78,38.78,38.78,8.406395049,8.406395049,11.89570552,11.89570552
2025-09-03,MN-23,169,2,0.490,1.183,0.98,0.98,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-08,71,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-03,MN-49,367,4,0.700,1.090,2.8,2.8,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-07,158,2,1.755,1.266,3.51,3.51,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
