SKU,condition,total-inventory,available,inbound-shipped,inbound-received,reserved-quantity,unfulfillable-quantity,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,inv-age-365-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,days-of-supply,weeks-of-cover-t30,weeks-of-cover-t90
MN-40,New,655,407,0,181,67,0,356,155,0,0,0,0,USD,85,337,613,893,1.74,0.132234,cubic feet,Standard,53.819238,US,84,6,8
MN-41,New,935,694,150,19,61,11,22,831,0,0,0,0,USD,142,535,953,1443,1.52,0.643986,cubic feet,Standard,446.926284,US,75,6,7
MN-42,New,752,673,0,10,66,3,328,206,258,0,0,0,USD,83,252,709,1224,1.42,0.372838,cubic feet,Standard,250.919974,US,86,10,7
MN-43,New,166,123,0,0,43,0,110,12,51,0,0,0,USD,25,100,162,217,1.24,0.035586,cubic feet,Standard,4.377078,US,74,4,7
MN-44,New,130,96,0,17,16,1,69,54,0,0,0,0,USD,14,57,96,133,0.85,0.034594,cubic feet,Standard,3.321024,US,99,7,11
MN-45,New,159,82,48,17,12,0,51,55,0,0,0,0,USD,20,71,204,328,2.02,0.103417,cubic feet,Standard,8.480194,US,63,8,5
MN-46,New,177,109,48,4,15,1,77,52,0,0,0,0,USD,19,78,117,173,1.4,0.082992,cubic feet,Standard,9.046128,US,103,8,12
MN-47,New,256,241,0,0,15,0,11,82,169,0,0,0,USD,12,54,158,271,0.96,0.474597,cubic feet,Standard,114.377877,US,89,17,11
MN-48,New,210,196,0,1,13,0,1,163,45,0,0,0,USD,26,67,158,265,1.19,0.91242,cubic feet,Standard,178.83432,US,84,11,9
MN-49,New,196,156,0,21,18,1,10,182,0,0,0,0,USD,30,129,277,404,1.89,0.37674,cubic feet,Standard,58.77144,US,40,5,5
MN-50,New,217,76,60,7,73,1,89,86,0,0,0,0,USD,49,148,254,378,1.92,0.336525,cubic feet,Standard,25.5759,US,49,3,4
